LBRRY_CD,LBRRY_NM,LBRRY_LA,LBRRY_LO,OPNNG_TIME,CLOSEDON_DC
31400,남동논현도서관,37.402323,126.7263206,"자유열람실 08:00 ~ 22:00, 어린이자료실 09:00 ~ 18:00 (수요일 20:00까지), 종합자료실 09:00 ~ 22:00 (주말 09:00~18:00), 멀티미디어실 09:00 ~ 18:00",매주 금요일 / 법정공휴일
31401,소래도서관,37.3944155,126.704517,"자유열람실 08:00 ~ 22:00, 어린이자료실 09:00 ~ 18:00 (수요일 20:00까지), 종합자료실 09:00 ~ 22:00 (주말 09:00~18:00), 디지털자료실 09:00 ~ 18:00",매주 월요일 / 법정공휴일
31402,서창도서관,37.4363211,126.7462122,"자유열람실 08:00 ~ 22:00, 어린이자료실 09:00 ~ 18:00 (수요일 20:00까지), 종합자료실 09:00 ~ 22:00 (주말 09:00~18:00), 디지털자료실 09:00 ~ 18:00",매주 월요일 / 법정공휴일
29500,경상북도교육청정보센터,35.822663,128.7441109,평일 09:00~18:00[종합자료실 09:00~19:00] / 주말 09:00~17:00,"매월 둘째주, 넷째주 월요일 / 법정공휴일"
29501,경상북도교육청연수원 도서관,36.1243423,128.3221001,09:00~18:00,주말 / 법정공휴일
29502,경상북도교육청 구미도서관,36.1238074,128.3315119,"평일 09:00~18:00, 주말 09:00~17:00 / 열람실: 08:00~22:00","매월 둘째주, 넷째주 월요일 / 법정공휴일"
29503,경상북도교육청 안동도서관,36.5614924,128.7170411,"평일: 일반자료실 09:00~19:00 / 어린이&middot;정보마루&middot;디지털자료실 09:00~18:00 , 주말: 09:00~17:00 / 북카페&middot;열람실 08:00~22:00","매월 둘째주, 넷째주 월요일 / 법정공휴일"
29504,경상북도교육청 안동도서관 용상분관,36.5576204,128.7516426,화~금 09:00~18:00 / 토~일 09:00~17:00 / 열람실 08:00~22:00,매주 월요일 / 법정공휴일
29505,경상북도교육청 안동도서관 풍산분관,36.5767134,128.5752714,08:00~22:00,매주 월요일 / 법정공휴일
29506,경상북도교육청 상주도서관,36.4120515,128.1584487,"09:00~19:00(일반자료실), 09:00~18:00(어린이&middot;정기간행물&middot;디지털자료실), 주말 09:00~17:00(자료실) / 08:00~22:00(열람실)","매월 둘째주, 넷째주 월요일 / 법정공휴일"
29507,경상북도교육청 상주도서관 화령분관,36.44241,127.945837,(평일) 9:00 ~ 18:00 (주말) 9:00 ~ 17:00,"매주 월요일 / 법정공휴일, 특별한 사유로 관장이 지정하는 날"
29508,경상북도교육청 영주선비도서관,36.8198818,128.6062617,"평일 종합자료실 9:00~18:00 / 어린이&middot;유아?디지털 자료실 09:00~18:00 , 주말 09:00~17:00 / 열람실 08:00~22:00 / 스마트도서관 연중무휴 24시간 운영","매월 둘째주, 넷째주 월요일 / 일요일을 제외한 관공서의 공휴일 (단, 일요일과 기타 공휴일이 겹치는 경우에는 휴관)"
29509,경상북도교육청 영주선비도서관 풍기분관,36.8708438,128.5196398,"자료실 평일 09:00~18:00, 주말 09:00~17:00 / 열람실 09:00~22:00",매주 월요일 / 법정공휴일
29510,경상북도교육청문화원 종합정보자료실,36.0736127,129.3913615,"화요일~금요일(09:00~18:00), 토요일(09:00~17:00)","매주 월요일, 일요일 / 국가공휴일"
29511,경상북도교육청 영일도서관,36.113839,129.345885,"09:00~18:00(화~금), 09:00~17:00(토,일), 09:00~22:00(열람실)",매주 월요일 / 법정공휴일
29512,경상북도교육청 외동도서관,35.7172229,129.3245128,"평일 09:00~18:00, 주말 09:00~17:00",매주 월요일 / 법정공휴일
29513,경상북도교육청 금호도서관,35.9343797,128.8806563,자료실 - 평일(화~금) : 09:00~18:00 / 주말(토~일) : 09:00~17:00 / 열람실 - 3월~10월 : 09:00~22:00 / 11월~2월 : 09:00~21:00,"매주 월요일 / 일요일을 제외한 관공서의 공휴일(단, 일요일과 관공서의 공휴일이 겹치는 경우에는 휴관)"
29514,경상북도교육청 점촌도서관,36.6058736,128.2045857,"평일 09:00~18:00, 주말 09:00~17:00(자료실) / 09:00~22:00(열람실)",매주 월요일 / 일요일을 제외한 법정 공휴일
29515,경상북도교육청 점촌도서관 가은분관,36.6470547,128.0618016,09:00 ~ 21:00,매주 월요일 / 일요일을 제외한 법정 공휴일
29517,경상북도교육청 의성도서관,36.3537544,128.700792,"평일 09:00~18:00, 주말 09:00~17:00",매주 월요일 / 법정공휴일
29518,경상북도교육청 청송도서관,36.4366493,129.0552349,09:00~18:00(평일) 09:00~17:00(주말),매주 월요일 / 법정공휴일
29519,경상북도교육청 영양도서관,36.6606963,129.1108249,"평일 09:00~18:00, 주말 09:00~17:00 (열람실 평일&middot;주말 08:00~22:00)",매주 월요일 / 법정공휴일
29520,경상북도교육청 영덕도서관,36.4146875,129.3680705,"평일 09:00~18:00, 주말 09:00~17:00",매주 월요일 / 법정공휴일
29521,경상북도교육청 청도도서관,35.6452984,128.7400677,"평일 09:00~18:00, 주말 09:00~17:00(자율학습실 09:00~22:00)",매주 월요일 / 법정공휴일
29522,경상북도교육청 고령도서관,35.7311981,128.2675909,자료실: 평일 09:00~18:00 주말 09:00~17:00 / 열람실: 09:00~22:00,매주 월요일 / 법정공휴일
29523,경상북도교육청 성주도서관,35.9275785,128.2835825,"자료실: 평일 09:00~18:00, 주말 09:00~17:00 / 열람실: 평일 09:00~22:00",매주 월요일 / 법정공휴일
29524,경상북도교육청 칠곡도서관,35.996273,128.4035346,"평일 09:00~18:00, 주말 09:00~17:00",매주 월요일 / 일요일을 제외한 국가공휴일
29525,경상북도교육청 예천도서관,36.6554127,128.4546282,자료실 09:00~18:00,매주 월요일 / 법정공휴일
29526,경상북도교육청 봉화도서관,36.8883933,128.7401267,"열람실 월~금 08:00~22:00,토~일 08:00~18:00 / 자료실 월~금 09:00~18:00, 토,일 09:00~17:00",매월 마지막주 월요일 / 법정공휴일
29527,경상북도교육청 울진도서관,36.9863869,129.3994624,"자료실 : 평일 09:00~18:00, 주말 09:00~17:00 / 열람실 09:00~22:00",매주 월요일 / 법정공휴일
29528,경상북도교육청 울릉도서관,37.4993877,130.901446,09:00~21:00 (섬초롱도서관 10:00~19:00),"매주 월요일 / 일요일을 제외한 법정공휴일 (섬초롱도서관 매주 금요일, 일요일)"
31500,세종시립도서관,36.5105059,127.240567,"평일 9:00~22:00, 주말 09:00~18:00 (어린이열람실  평일 10:00~19:00,  주말 09:00~18:00)",매주 월요일 / 법정공휴일 및 국가가 정한 임시휴일
31501,한솔동도서관,36.4796401,127.254342,"월 ~ 금요일 : 09:00~22:00, 토요일 : 09:00~18:00",매주 일요일 / 법정공휴일
31502,도담동도서관,36.5153999,127.261748,"월 ~ 금요일 : 09:00~22:00, 토요일 : 09:00~18:00",매주 일요일 / 법정공휴일
31503,아름동도서관,36.5123404,127.246891,"월 ~ 금요일 : 09:00~22:00, 일요일 : 09:00~18:00",매주 토요일 / 법정공휴일
31504,종촌동도서관,36.5046267,127.246866,"월 ~ 금요일 : 09:00~22:00, 토요일 : 09:00~18:00",매주 일요일 / 법정공휴일
31505,고운동도서관,36.5197146,127.236587,"월 ~ 금요일 : 09:00~22:00, 토요일 : 09:00~18:00",매주 일요일 / 법정공휴일
31506,고운남측도서관,36.5049652,127.235359,"월 ~ 금요일 : 09:00~22:00, 일요일 : 09:00~18:00",매주 토요일 / 법정공휴일
31507,보람동도서관,36.478691,127.291308,"월 ~ 금요일 : 09:00~22:00, 토요일 : 09:00~18:00",매주 일요일 / 법정공휴일
31508,새롬동도서관,36.4813183,127.249891,"월 ~ 금요일 : 09:00~22:00, 토요일 : 09:00~18:00",매주 일요일 / 법정공휴일
31509,대평동도서관,36.4852235,127.251872,"월 ~ 금요일 : 09:00~22:00, 일요일 : 09:00~18:00",매주 토요일 / 법정공휴일
31510,소담동도서관,36.4841119,127.300233,"월 ~ 금요일 : 09:00~22:00, 토요일 : 09:00~18:00",매주 일요일 / 법정공휴일
31511,다정동도서관,36.4945176,127.250339,"월 ~ 금요일 : 09:00~22:00, 일요일 : 09:00~18:00",매주 토요일 / 법정공휴일
31512,해밀동도서관,36.5278565,127.268668,월~금 09:00~22:00 / 토 09:00~18:00,매주 일요일 / 법정공휴일
31513,반곡동도서관,36.4987202,127.31058,평일 : 09:00 ~ 22:00 / 일요일 : 09:00 ~ 18:00,매주 토요일 / 법정공휴일
18010,광명시연서도서관,37.482755,126.8646514,"평일 09:00~22:00, 주말 09:00~17:00",매주 금요일 / 법정공휴일
5308,아차산숲속도서관,37.5518578,127.1012321,09:00~18:00,매주 화요일 / 법정공휴일
31602,어울림도서관,37.5617028,127.01891,"어린이실, 종합자료실 - 09:00~22:00(평일 및 주말)",매주 월요일 / 일요일을 제외한 법정공휴일
31603,남산타운 어린이도서관,37.5495114,127.0119,평일 : 09:00 ~ 22:00 / 주말 : 09:00 ~ 18:00,"매월 첫째주, 셋째주, 다섯째주 월요일, 매월 둘째주, 넷째주 일요일 / 공휴일"
31604,신당누리도서관,37.5633821,127.012303,"평일: 09:00~22:00, 주말: 09:00~18:00",매주 일요일 / 법정공휴일
31605,손기정 어린이도서관,37.5556652,126.96455,평일 09:00~22:00 / 주말 09:00~18:00,매주 월요일 / 일요일을 제외한 법정공휴일
31606,손기정 문화도서관,37.5556652,126.9645497,"평일, 주말 09:00~22:00",매주 월요일 / 법정공휴일
31607,장충동 작은도서관,37.5591619,127.0013427,평일 09:00~22:00 / 주말 09:00~18:00,매주 월요일 / 일요일을 제외한 법정공휴일
31700,경기중앙교육도서관,37.2979705,127.0232861,평일 9:00~20:00 / 주말 9:00~17:00,매주 월요일 / 법정공휴일
31701,경기평생교육학습관,37.2522357,127.0321226,-,4월1일부터 7월31일까지 내부 공사로 인하여 휴관중
31702,경기의정부교육도서관,37.763362,127.036438,"주말: 9시~17시, 평일: 종합자료실-9시~20시, 어린이자료실-9시~18시","매주 월요일 / 관공서의 공휴일에 관한 규정에서 정한 공휴일(다만, 일요일은 개관하되, 일요일과 다른 공휴일이 겹치는 경우에는 휴관)"
31703,경기평택교육도서관,37.0730819,127.0626649,평일 08:00~22:00 / 주말 9:00~17:00,매주 월요일 / 법정공휴일
31704,경기광주교육도서관,37.4108381,127.2552863,평일 9:00~20:00 / 주말 9:00~17:00,매주 월요일 / 법정공휴일
31705,경기여주가남교육도서관,37.2041633,127.5461529,평일 9:00~20:00 / 주말 9:00~17:00,매주 월요일 / 법정공휴일
31706,경기포천교육도서관,37.8944791,127.2018087,평일 9:00~19:00 / 주말 9:00~17:00,매주 월요일 / 법정공휴일
31707,경기김포교육도서관,37.6209475,126.7117185,평일 9:00~20:00 (어린이자료실은 9:00~18:00) / 주말 9:00~17:00,"매주 월요일 / 일요일을 제외한 관공서의 공휴일. 단, 일요일과 겹치는 공휴일은 휴관"
31708,경기성남교육도서관,37.2979705,127.0232861,09:00 ~ 22:00,매주 월요일 / 국가공휴일
31709,경기화성교육도서관,37.1331056,126.9201978,"화~금 09:00~20:00, 토~일 09:00~17:00",매주 월요일 / 법정 공휴일
31710,경기과천교육도서관,37.432262,126.9965747,"평일 9:00~22:00 / 주말(토,일) 9:00~17:00","매주 월요일 / 일요일을 제외한 관공서의 공휴일, 필요에 따라 관장이 지정한 날"
32300,해밀도서관,37.4944602,126.7804681,일반자료실: 09:00~21:00 자유열람실: 08:00~22:00 어린이자료실: 09:00~18:00 정보화자료실: 09:00~18:00,매주 일요일 및 법정공휴일
32400,하남시 미사도서관,37.5603879,127.1498654,"유아, 어린이자료실 : 09:00~18:00 / 종합, 청소년, 만화, 디지털자료실 : 평일 09:00~22:00, 주말 09:00~18:00",매주 화요일 / 법정공휴일
32401,하남시 디지털도서관,37.5691025,127.18498,"디지털라운지, 어린이가족실, 멀티미디어실, 디지털정보실 : 09:00~18:00 / 스터디센터, 노트북스터디센터 : 08:00~22:00",매주 금요일 / 법정공휴일
32402,하남시 일가도서관,37.0011541,127.2732211,09:00~18:00,매주 일요일 / 법정공휴일
32403,하남시 나룰도서관,37.553494,127.2080673,"어린이실 : 09:00~18:00 / 디지털, 종합자료실 : 평일 09:00~22:00, 주말 09:00~18:00 / 열람실 : 08:00~23:00",매주 월요일 / 법정공휴일
32404,하남시 위례도서관,37.4769457,127.1495765,"유아실, 어린이실 : 09:00~18:00 / 종합자료실, 디지털실 : 평일 09:00~22:00, 주말 09:00~18:00",매주 목요일 / 법정공휴일
32405,하남시 세미도서관,37.8448703,127.0625473,"유아자료실 : 09:00~18:00 / 로비라운지, 어린이, 일반자료실 : 평일 09:00~22:00, 주말 09:00~18:00",매주 금요일 / 법정공휴일
32406,하남시 덕풍도서관,37.5334758,127.2006586,"어린이자료실, 종합자료실 : 09:00~18:00 / 열람실 : 09:00~22:00",매주 일요일 / 법정공휴일
32500,논산열린도서관,36.1960813,127.108748,동절기 08:00~21:00 / 하절기 08:00~22:00,매주 월요일 / 법정공휴일
32501,논산강경도서관,36.1591204,127.0184433,동절기 08:00~21:00 / 하절기 08:00~22:00,매주 월요일 / 법정공휴일
32502,논산연무도서관,36.1264842,127.0972574,동절기 08:00~21:00 / 하절기 08:00~22:00,매주 월요일 / 법정공휴일
32600,장항공공도서관,36.0147499,126.6924206,"자료실 평일 09:00~18:00, 주말 09:00~17:00 / 열람실 09:00~21:00",매주 월요일 / 법정공휴일
32700,천안아산상생협력센터도서관,36.8001686,127.1064013,"평일 09:00~22:00, 주말 09:00~18:00",매주 월요일 / 법정공휴일
32800,태안군립중앙도서관,36.7576158,126.3021603,"하절기 09:00~22:00, 동절기 09:00~21:00",매주 일요일 / 법정공휴일
33000,맹동혁신도서관,36.913024,127.544901,"평일 09:00~22:00, 주말 09:00~18:00",매주 월요일 / 법정공휴일
33001,대소도서관,36.9674899,127.4849331,"평일 09:00~22:00, 주말 09:00~18:00",매주 월요일 / 법정공휴일
33002,삼성도서관,37.0197379,127.4979969,"평일 09:00~22:00, 주말 09:00~18:00",매주 월요일 / 법정공휴일
